date,instrument,factor,forward_return,tradable
2025-01-02,600001.SH,1,-0.030,true
2025-01-02,600002.SH,2,-0.020,true
2025-01-02,600003.SH,3,-0.012,true
2025-01-02,600004.SH,4,-0.005,true
2025-01-02,600005.SH,5,0.001,true
2025-01-02,000001.SZ,6,0.004,true
2025-01-02,000002.SZ,7,0.011,true
2025-01-02,000003.SZ,8,0.018,true
2025-01-02,000004.SZ,9,0.024,true
2025-01-02,000005.SZ,10,0.031,true
2025-01-03,600001.SH,2,-0.021,true
2025-01-03,600002.SH,1,-0.028,true
2025-01-03,600003.SH,4,-0.004,true
2025-01-03,600004.SH,3,-0.010,true
2025-01-03,600005.SH,6,0.006,true
2025-01-03,000001.SZ,5,0.000,true
2025-01-03,000002.SZ,8,0.017,true
2025-01-03,000003.SZ,7,0.010,true
2025-01-03,000004.SZ,10,0.029,true
2025-01-03,000005.SZ,9,0.022,true
2025-01-06,600001.SH,3,-0.010,true
2025-01-06,600002.SH,2,-0.018,true
2025-01-06,600003.SH,1,-0.025,true
2025-01-06,600004.SH,5,0.001,true
2025-01-06,600005.SH,4,-0.005,true
2025-01-06,000001.SZ,7,0.012,true
2025-01-06,000002.SZ,6,0.006,true
2025-01-06,000003.SZ,9,0.024,true
2025-01-06,000004.SZ,8,0.017,true
2025-01-06,000005.SZ,10,0.030,false
2025-01-07,600001.SH,4,-0.003,true
2025-01-07,600002.SH,3,-0.009,true
2025-01-07,600003.SH,2,-0.016,true
2025-01-07,600004.SH,1,-0.024,true
2025-01-07,600005.SH,6,0.006,true
2025-01-07,000001.SZ,5,0.001,true
2025-01-07,000002.SZ,8,0.018,true
2025-01-07,000003.SZ,7,0.011,true
2025-01-07,000004.SZ,10,0.031,true
2025-01-07,000005.SZ,9,0.023,true
